Mutation,odd,even
CAS9,0.025079091694610218,0.9749209083053896
CAS9,0.03581282164309878,0.9641871783569012
CAS9,0.025718769863389064,0.9742812301366108
CAS9,0.04046223998139471,0.9595377600186051
CAV,0.01923877921342487,0.9807612207865752
CAV,0.01277050797754637,0.9872294920224536
CAV,0.020229058611263413,0.9797709413887364
CAV,0.020786219315847294,0.9792137806841528
CAVIN,0.03322865318883947,0.9667713468111606
CAVIN,0.03336780067491467,0.9666321993250852
CAVIN,0.03625956202622458,0.9637404379737755
CAVIN,0.03178837387699198,0.968211626123008
CERS2_mg,0.013368790417315752,0.9866312095826841
CERS2_mg,0.02666195659897885,0.973338043401021
CERS2_mg,0.028734820466969804,0.9712651795330303
CERS2_mg,0.026874056674637683,0.9731259433253623
CERS2-1g,0.0249991304634732,0.9750008695365266
CERS2-1g,0.019993085597258778,0.9800069144027412
CERS2-1g,0.021858554207197834,0.9781414457928022
CERS2-1g,0.02062182022924046,0.9793781797707596
CERS5,0.02294828381250455,0.9770517161874953
CERS5,0.019126862083081286,0.9808731379169185
CERS5,0.023744988207342933,0.9762550117926571
CERS5,0.023650472909224823,0.9763495270907752
Flot2,0.028984304596666576,0.9710156954033333
Flot2,0.030735638315339816,0.96926436168466
Flot2,0.03233895529406521,0.9676610447059347
Flot2,0.03463303888953677,0.9653669611104633
SPTLC,0.031442087479115706,0.9685579125208843
SPTLC,0.01281676841869932,0.9871832315813006
SPTLC,0.03160594401630737,0.9683940559836925
SPTLC,0.03039399033162485,0.9696060096683752
UGCG,0.028524441430617546,0.9714755585693824
UGCG,0.03214695991642734,0.9678530400835726
UGCG,0.03941526984166134,0.9605847301583387
UGCG,0.04029798279045441,0.9597020172095455
WT,0.03583027510941976,0.9641697248905802
WT,0.03781112894529341,0.9621888710547066
WT,0.04232463150559866,0.9576753684944015
WT,0.043443218765261936,0.956556781234738
