Head Group,CAS9,CAV
"DAG,TAG,MAG",0.0,-3.5132433531854526
DMPE,0.0,-2.9926024685909103
GD,0.0,3.8353730616831427
GM,0.0,-0.028174858309323474
GT,0.0,1.6529532415870798
Hex_Cer,0.0,0.41440038433591164
LDMPE,0.0,2.8668534549549496
LMMPE,0.0,3.301788127189212
LPC,0.0,6.316480497384377
LPE,0.0,1.812181970027269
LPG,0.0,0.0
MADAG,0.0,-11.152831799790484
MMPE,0.0,-3.6376753107348803
NAPE,0.0,-0.1774424564680487
PC,0.0,0.9062720964578265
PE,0.0,4.997705040374118
PG,0.0,8.679694227967081
PS,0.0,-2.0623842399612813
SGalCer,0.0,3.6320202345130395
SM,0.0,1.4068063968531694
