Head Group,DGAT-ALI,DGAT-Lipid
CE,0.0,-0.5649246159825374
CL,0.0,0.04648216492117312
Cer,0.0,-1.025252807013406
"DAG,TAG,MAG",0.0,0.16650550703726005
Hex_Cer,0.0,-0.9784648130747323
LPA,0.0,-0.06244696926361222
LPC,0.0,-0.13994151106190203
LPE,0.0,-0.07244163900833778
LPG,0.0,-1.119009421338904
LPI,0.0,-0.3933515133136284
LPS,0.0,-0.5805099169380924
PA,0.0,0.2765963005055212
PC,0.0,-0.06183580566430099
PE,0.0,0.252383022082108
PG,0.0,-0.5603963563925712
PI,0.0,-0.0833725551813154
PS,0.0,-0.15708282606380716
SM,0.0,-0.11408468162219677
